id;prmid;unis_order;units_delivered;unis_activated;jmd_month;jmd_year;jmddate;created_by;created_on;updated_by;updated_on
1;7993;26509;11528;28628;26873;3810;24559;18200;2023-08-29;17903;2023-08-28
2;22518;13710;29106;17008;16261;31777;29893;16442;2023-08-28;9159;2023-08-29
3;29508;12170;11119;21749;19434;32469;9989;12168;2023-08-29;5505;2023-08-28
4;17605;24072;17501;4519;31818;9469;10067;12252;2023-08-29;31356;2023-08-29
5;1293;32406;11864;4148;1680;11631;1513;2722;2023-08-29;32601;2023-08-29
6;28038;31848;31613;16670;5747;1277;11268;11324;2023-08-29;27048;2023-08-29
7;23536;18345;28144;12592;2564;26931;21496;8909;2023-08-28;18747;2023-08-29
8;27800;26235;7651;5942;29803;8232;18163;2547;2023-08-29;22376;2023-08-28
9;18840;2412;9094;1383;9420;2105;8249;14225;2023-08-28;11994;2023-08-29
10;28122;23870;21928;21196;22686;24027;25932;20722;2023-08-29;407;2023-08-29
